burrow,stage,boat_id,stroke,site,goby_number,shrimp_species,goby_total,goby_out,burrow_stage,shrimp_out,shrimp_total,shrimp_number,shrimp_contact
4,Pre,A,2,SITE 1,2,mannarensis,299.998,0.9844648964326428,4 Pre,0.8459910196707212,299.98900000000003,1,0.8797754644213108
34,During,A,control,SITE 3,2,mannarensis,299.9975,0.8767589729914417,34 During,0.862920793977002,299.9835,2,0.879815064200856
34,Pre,A,control,SITE 3,2,mannarensis,299.9905,0.6388085622711386,34 Pre,0.4185025675004141,313.924,2,0.8728153656918662
34,Post,A,control,SITE 3,2,mannarensis,299.993,0.9198114622674529,34 Post,0.741698087418031,299.961,2,0.8536878053170797
35,During,B,control,SITE 3,1,unknown,299.99,0.9133171105703523,35 During,0.4354925811968091,299.981,2,0.4885562470623922
35,Pre,B,control,SITE 3,1,unknown,299.99,0.8441014700490016,35 Pre,0.3489689243877884,299.978,2,0.4792324334054476
35,Post,B,control,SITE 3,1,unknown,299.98400000000004,0.8558189770121073,35 Post,0.252322662586381,299.97900000000004,2,0.49636813963411375
36,Post,C,control,SITE 3,2,mannarensis,299.999,0.990231634105447,36 Post,0.45210431663669354,299.9905,2,0.46057690865362977
36,During,C,control,SITE 3,2,mannarensis,299.99399999999997,0.9490506476796201,36 During,0.3274746484789088,299.98199999999997,2,0.6823555601626611
36,Pre,C,control,SITE 3,2,mannarensis,299.99300000000005,0.513661985446327,36 Pre,0.3171633550390502,298.846,2,0.8291979246009457
37,During,D,control,SITE 3,1,mannarensis,299.99,0.2873662455415181,37 During,0.010720428817152686,299.988,1,0.7103665752200884
4,Post,A,2,SITE 1,2,mannarensis,299.994,0.8501903371400761,4 Post,0.7850730546267931,299.981,1,0.9362456040934016
37,Pre,D,control,SITE 3,1,mannarensis,299.996,0.030897078627715038,37 Pre,0,299.979,1,0.9716829557727437
37,Post,D,control,SITE 3,1,mannarensis,299.991,0.5984212859719125,37 Post,0.32324878985478256,299.964,1,0.8472379631728424
38,Post,E,4,SITE 4,2,mannarensis,298.97450000000003,0.42470678937501355,38 Post,0.05707989752154831,299.9655,2,1
38,During,E,4,SITE 4,2,mannarensis,299.6185,0.13246011177547448,38 During,0.062384366905683386,299.97900000000004,2,1
38,Pre,E,4,SITE 4,2,mannarensis,299.995,0.4317655294254904,38 Pre,0.23512302125056464,299.9685,2,0.9734498229988201
39,Pre,F,4,SITE 4,1,mannarensis,299.996,0.013883518446912626,39 Pre,0.007952037761762216,299.986,2,0.989973199642662
39,During,F,4,SITE 4,1,mannarensis,299.998,0,39 During,0.058744799722651876,299.984,2,1
39,Post,F,4,SITE 4,1,mannarensis,299.99199999999996,0.031070828555428146,39 Post,0.10279313034608281,299.986,2,0.9665645541940558
40,During,G,4,SITE 4,1,mannarensis,300,1,40 During,0.9469930564120684,299.989,2,0.8978412901591365
40,Post,G,4,SITE 4,1,mannarensis,299.99600000000004,0.9633561780823745,40 Post,0.7202166155241125,299.9785,2,0.6720551885982675
4,During,A,2,SITE 1,2,mannarensis,299.997,0.935859358593586,4 During,0.15866909766050236,299.46599999999995,1,0.24957833052220352
40,Pre,G,4,SITE 4,1,mannarensis,299.989,0.9289640620156072,40 Pre,0.6749144524875865,299.9795,2,0.612197466861029
42,Pre,A,control,SITE 4,1,unknown,300,1,42 Pre,0.5944994250473026,300.4595,2,0.5342303647294321
42,During,A,control,SITE 4,1,unknown,300,1,42 During,0.659304085224394,300.00800000000004,2,0.7089396984924623
42,Post,A,control,SITE 4,1,unknown,300,1,42 Post,0.7027588781806606,299.977,2,0.6891267100456012
5,Post,B,2,SITE 1,1,mannarensis,299.996,0.3037640501873359,5 Post,0.021190134494765388,299.9745,2,0.25965929926325965
44,Pre,C,control,SITE 4,1,mannarensis,300,1,44 Pre,0.9762726215119787,299.991,2,0.8908565142752379
44,Post,C,control,SITE 4,1,mannarensis,299.999,1,44 Post,0.9691544560693515,299.97850000000005,2,0.9916533055110183
44,During,C,control,SITE 4,1,mannarensis,299.997,0.983356500231669,44 During,0.6469678305498927,299.95849999999996,2,0.8550321006420127
47,Post,F,4,SITE 4,1,mannarensis,300,0,47 Post,0.10951850728256486,299.963,2,1
5,During,B,2,SITE 1,1,mannarensis,299.996,0.39949865998213313,5 During,0.12314916215364768,299.96549999999996,2,0.6708096584990224
47,During,F,4,SITE 4,1,mannarensis,299.997,0.09314093140931409,47 During,0.056048284265110104,299.97349999999994,2,0.9746682066743668
47,Pre,F,4,SITE 4,1,mannarensis,300,0,47 Pre,0.3459527937058275,299.96,2,1
48,Post,G,4,SITE 4,1,mannarensis,295.244,0,48 Post,0.058866575873605366,299.94950000000006,2,0.9846148974326495
48,During,G,4,SITE 4,1,mannarensis,299.995,0.47665794429907166,48 During,0.4531471375566305,299.971,2,0.9538292304871748
48,Pre,G,4,SITE 4,1,mannarensis,299.999,0.7318224394081313,48 Pre,0.8583103723594879,299.96549999999996,2,0.978373117064504
49,Post,H,4,SITE 4,1,mannarensis,299.99800000000005,1,49 Post,0.9190511746979919,299.99199999999996,1,0.9105754743396579
49,Pre,H,4,SITE 4,1,mannarensis,300,1,49 Pre,0.8812014534786812,299.97,1,0.8988809738893908
49,During,H,4,SITE 4,1,mannarensis,300,1,49 During,1,300,1,1
5,Pre,B,2,SITE 1,1,mannarensis,299.986,0.5378751008380391,5 Pre,0.12277110883689299,299.981,2,0.6355079903728842
51,Post,B,control,SITE 4,1,mannarensis,299.998,0.9493929959533063,51 Post,0.8360460096572944,299.9805,2,0.8495195713226165
51,Pre,B,control,SITE 4,1,mannarensis,299.996,0.9252123361644823,51 Pre,0.07684012626961295,299.99300000000005,2,0.12590459237925714
51,During,B,control,SITE 4,1,mannarensis,299.999,1,51 During,0.9181305328055867,295.849,2,0.9728629715062866
52,Pre,C,control,SITE 4,1,sciolii,299.998,0.6102674017826786,52 Pre,0.03487174358717936,299.985,2,0.39107463691545635
52,Post,C,control,SITE 4,1,sciolii,299.998,0.01533010220068134,52 Post,0.11399868165244019,299.6175,2,0.9836522301659287
52,During,C,control,SITE 4,1,sciolii,299.99800000000005,0.9703131354209028,52 During,0,299.998,2,0.029356764522548408
53,Pre,D,control,SITE 4,1,mannarensis,299.989,0.9785692142045209,53 Pre,0.5634300058840296,299.9645,2,0.5647130982917735
53,During,D,control,SITE 4,1,mannarensis,299.996,0.9765096867958241,53 During,0.4125735068606403,299.972,2,0.4615835913983512
53,Post,D,control,SITE 4,1,mannarensis,299.99,0.9813560452015067,53 Post,0.4291934473724867,300.9785,2,0.500998373268264
6,Pre,C,2,SITE 1,1,bellulus,299.994,0.4947098941978839,6 Pre,0.05012467830330831,299.972,1,0.508746783290444
54,Post,E,4,SITE 5,1,mannarensis,300,1,54 Post,0,300,2,0
54,Pre,E,4,SITE 5,1,mannarensis,299.99199999999996,0.7335762286994321,54 Pre,0,299.9955,2,0.2671344522408707
54,During,E,4,SITE 5,1,mannarensis,299.98199999999997,0.6202905507663794,54 During,0.07867717406885148,299.979,2,0.43133865905753677
55,During,F,4,SITE 5,2,mannarensis,299.995,0.3465374422907048,55 During,0.29384801045444847,299.968,1,0.8850147502458374
55,Pre,F,4,SITE 5,2,mannarensis,299.994,0.9160416541664166,55 Pre,0.8388730178307726,299.987,1,0.951462847961813
55,Post,F,4,SITE 5,2,mannarensis,299.9945,0.5963909338337868,55 Post,0.3952749553297597,299.976,1,0.8975853011373486
56,Pre,G,4,SITE 5,1,unknown,299.99399999999997,0.4791262491916505,56 Pre,0.04477965197679845,299.98,2,0.5308685391235942
56,Post,G,4,SITE 5,1,unknown,234.99900000000002,0.2975374363295163,56 Post,0.11373496787312594,299.98249999999996,2,0.7700702676035681
56,During,G,4,SITE 5,1,unknown,299.998,0.02261015073433823,56 During,0.18289099312779505,299.9765,2,0.9786581910546072
57,Post,H,4,SITE 5,1,unknown,299.996,0.018396911958826118,57 Post,0.2873148084818174,299.7235,2,0.9800848672324483
6,Post,C,2,SITE 1,1,bellulus,299.996,0.8807650768676917,6 Post,0.09693591829115443,299.99199999999996,1,0.1653333066661333
57,Pre,H,4,SITE 5,1,unknown,299.99,0.6433281109370312,57 Pre,0.13039963463500168,299.974,2,0.9132471082369413
57,During,H,4,SITE 5,1,unknown,299.991,0.4641872589511018,57 During,0.1655082059026493,299.967,2,0.9887182581217208
58,Pre,A,control,SITE 5,1,unknown,299.999,0.18450061500205,58 Pre,0.35060358651406703,299.957,2,0.9471728050613839
58,During,A,control,SITE 5,1,unknown,299.99699999999996,0.892722260555939,58 During,0.3127709152865125,299.3325,2,0.4468287951038123
58,Post,A,control,SITE 5,1,unknown,299.998,1,58 Post,0.5693516312981209,299.9605,2,0.6848873043889869
60,Post,C,control,SITE 5,1,sciolii,299.995,0.6869981166352772,60 Post,0.03107519784520404,299.982,1,0.8281855212368083
60,During,C,control,SITE 5,1,sciolii,299.994,0.06858470502743387,60 During,0.08998263153859233,299.969,1,0.9290590541207217
6,During,C,2,SITE 1,1,bellulus,299.996,0.8025173668982254,6 During,0.02254120219745053,299.984,1,0.17672902305364072
60,Pre,C,control,SITE 5,1,sciolii,300,0,60 Pre,0.019935592700506058,299.966,1,1
61,Pre,D,control,SITE 5,1,mannarensis,299.989,0.6606908919993734,61 Pre,0.11389656040254473,299.9915,2,0.5887198119968666
61,Post,D,control,SITE 5,1,mannarensis,299.99,0.43334111137037895,61 Post,0.012690528772032167,299.9875,2,0.6170932279097054
61,During,D,control,SITE 5,1,mannarensis,299.99499999999995,0.37808963482724717,61 During,0.031223227828058076,299.985,2,0.7730932630656127
62,Pre,A,control,SITE 5,1,mannarensis,299.995,0.18874647910798512,62 Pre,0.27091608894015595,299.9545,2,0.9807982693275645
62,During,A,control,SITE 5,1,mannarensis,299.98999999999995,0.7414713823794128,62 During,0.7590968800218713,299.938,2,0.9632978439712531
62,Post,A,control,SITE 5,1,mannarensis,299.99,0.9558351945064835,62 Post,0.551962447950873,299.957,2,0.8148438281276043
63,Post,B,control,SITE 5,1,mannarensis,299.984,0.9302462798015894,63 Post,0.47929600298684255,299.9823333333334,3,0.7562760634556601
63,During,B,control,SITE 5,1,mannarensis,299.988,0.8963125191674335,63 During,0.2117602873902314,299.98699999999997,3,0.4137175258384905
63,Pre,B,control,SITE 5,1,mannarensis,299.994,0.9691393827876557,63 Pre,0.4594195168566793,299.98,3,0.5025017361593377
7,During,D,2,SITE 1,1,mannarensis,299.99399999999997,0.13503603405401443,7 During,0.04813385070805663,299.97600000000006,1,0.8625048333977786
64,Post,C,control,SITE 5,2,mannarensis,299.996,0.9132971772956974,64 Post,0.28145126198506526,299.9045,2,0.8123080718998922
64,Pre,C,control,SITE 5,2,mannarensis,299.9965,0.8727985159826864,64 Pre,0.08513925696284816,299.98499999999996,2,0.3612958817852875
64,During,C,control,SITE 5,2,mannarensis,300,1,64 During,0.7612821277893814,299.9545,2,0.7789481930140656
65,Post,D,control,SITE 5,1,unknown,299.996,0.10085801144015255,65 Post,0.032878529783354385,299.983,2,0.9040793605290701
65,During,D,control,SITE 5,1,unknown,300,0,65 During,0.07039300203684999,299.97299999999996,2,1
65,Pre,D,control,SITE 5,1,unknown,299.99699999999996,0.2686293529601963,65 Pre,0.15861885037545734,299.9675,2,0.9603947359649063
66,Post,E,4,SITE 5,1,mannarensis,299.991,0.4174525235757073,66 Post,0.3137311770961472,299.967,2,0.811838051347302
66,During,E,4,SITE 5,1,mannarensis,297.51099999999997,0.6089724413551096,66 During,0.39845169550011506,299.941,2,0.8099964498402429
66,Pre,E,4,SITE 5,1,mannarensis,299.998,0.9908266055107033,66 Pre,0.020814180182608055,293.1415,2,0.40899279067817923
67,Post,F,4,SITE 5,1,unknown,299.994,0.9958365833983346,67 Post,0.6013536604679465,299.9275,2,0.8129627468955747
7,Pre,D,2,SITE 1,1,mannarensis,299.996,0.01929025720342938,7 Pre,0,299.968,1,0.9899832665551104
67,Pre,F,4,SITE 5,1,unknown,299.993,0.535955838969576,67 Pre,0.4377571286114929,299.3395,2,0.7139051323150956
67,During,F,4,SITE 5,1,unknown,299.997,0.8161248279149458,67 During,0.546898124803169,274.6645,2,0.8104301503617785
68,Post,G,4,SITE 5,1,mannarensis,299.99,0.9758058601953398,68 Post,0.7910119364124755,299.96450000000004,2,0.9019793795188554
68,Pre,G,4,SITE 5,1,mannarensis,299.989,0.24551566890785997,68 Pre,0.11480279443313712,299.95349999999996,2,0.989973199642662
68,During,G,4,SITE 5,1,mannarensis,299.99600000000004,0.9875665008866784,68 During,0.6680829713394165,299.95900000000006,2,0.8974111105740624
69,Post,H,4,SITE 5,1,unknown,300,1,69 Post,0.7071817766255261,299.703,2,0.8194744219458089
69,During,H,4,SITE 5,1,unknown,300,1,69 During,0.4452277349398395,299.449,2,0.4792134391370364
69,Pre,H,4,SITE 5,1,unknown,300,1,69 Pre,0.5522671925084219,299.96349999999995,2,0.8850293672540117
70,Post,A,4,SITE 1,1,mannarensis,299.977,0.6839657707090877,70 Post,0.28372555850208264,299.9765,2,0.5898836796498556
70,During,A,4,SITE 1,1,mannarensis,299.98199999999997,0.6557293437606256,70 During,0.2341652502107954,298.868,2,0.5909653805703847
7,Post,D,2,SITE 1,1,mannarensis,299.996,0.01875358338111175,7 Post,0.0033334888961484865,299.98600000000005,1,0.9815164202189361
71,During,B,4,SITE 1,2,mannarensis,299.991,0.5634802377404656,71 During,0.03748683210432974,299.972,1,0.9056750945849097
71,Pre,B,4,SITE 1,2,mannarensis,299.9945,0.8995614919606859,71 Pre,0.03494244597121798,299.979,1,0.5715871197916138
71,Post,B,4,SITE 1,2,mannarensis,275.7205,0.8767302394997833,71 Post,0,300,1,0.471372760788549
72,Post,C,4,SITE 1,1,sciolii,299.998,1,72 Post,0.617272653021764,299.9655,2,0.5875644818534106
72,Pre,C,4,SITE 1,1,sciolii,299.988,0.8471372188220861,72 Pre,0.09234320572009536,299.99499999999995,2,0.3558449697159601
72,During,C,4,SITE 1,1,sciolii,299.99,0.07155905196839894,72 During,0.23849463046641517,299.97950000000003,2,0.9862516208387361
73,Post,D,4,SITE 1,1,bellulus,299.992,0.613396357236193,73 Post,0.10711702251779257,299.98499999999996,2,0.5164454385450279
73,During,D,4,SITE 1,1,bellulus,299.995,0.98245304088401475,73 During,0.3608125766707558,299.98400000000004,2,0.41631610176271366
73,Pre,D,4,SITE 1,1,bellulus,299.98400000000004,0.8702830817643608,73 Pre,0.2986669466778672,299.98799999999994,2,0.42893691207157475
8,Pre,A,control,SITE 1,2,mannarensis,299.994,0.5945202237378081,8 Pre,0.45007400394687713,299.984,2,0.7345825826226234
74,Pre,E,4,SITE 1,1,mannarensis,299.988,0.9524614317906048,74 Pre,0.393432512397383,299.9625,2,0.4559787056374391
74,During,E,4,SITE 1,1,mannarensis,299.992,0.7712438998373289,74 During,0.05782160989122717,299.983,2,0.6478714787147872
74,Post,E,4,SITE 1,1,mannarensis,299.99499999999995,0.5980433007216788,74 Post,0.08789360694975032,299.982,2,1
75,Pre,F,4,SITE 1,2,mannarensis,299.997,0.9966649666496663,75 Pre,0.5613987715745348,299.9775,2,0.4903614096375903
75,During,F,4,SITE 1,2,mannarensis,299.996,0.9730629741729889,75 During,0.2848580609891062,299.98800000000006,2,0.3473953515504554
75,Post,F,4,SITE 1,2,mannarensis,299.991,0.9275378261347841,75 Post,0,300,2,0.4735326275367343
76,Pre,G,4,SITE 1,1,bellulus,299.992,0.04183111549641324,76 Pre,0.07957596819761481,299.97749999999996,2,0.9738779415024559
76,Post,G,4,SITE 1,1,bellulus,299.989,0.49800492684731784,76 Post,0.3931120705462668,299.945,2,0.8708884936990932
