Behavioural measure,Phase,Noise exposure,Estimated marginal mean,Lower 95% CrI,Upper 95% CrI
Proportion of time gobies spent outside of the burrow,Pre,control,0.6165405461343043,0.41743099649815046,0.7824748460334914
Proportion of time gobies spent outside of the burrow,Pre,4-stroke,0.6882999675094373,0.5066285653702624,0.8471161408444458
Proportion of time gobies spent outside of the burrow,Pre,2-stroke,0.6836595709861069,0.5209136642907102,0.8301616436118637
Proportion of time gobies spent outside of the burrow,During,control,0.6884474793082689,0.5130458694580855,0.8434950282704149
Proportion of time gobies spent outside of the burrow,During,4-stroke,0.5330281759162634,0.34907473109287235,0.7149391661026657
Proportion of time gobies spent outside of the burrow,During,2-stroke,0.6231465562552261,0.4622705634666484,0.768659898230216
Proportion of time gobies spent outside of the burrow,Post,control,0.7137581728391191,0.5250691249098498,0.8756347758009622
Proportion of time gobies spent outside of the burrow,Post,4-stroke,0.6193994181443397,0.4157313825017474,0.8009506834366503
Proportion of time gobies spent outside of the burrow,Post,2-stroke,0.6158218119658125,0.45262147458613666,0.7643074039574427
Proportion of time shrimp spent outside of the burrow,Pre,control,0.31105562566906597,0.19394480073900858,0.4440627742218266
Proportion of time shrimp spent outside of the burrow,Pre,4-stroke,0.3306229064782147,0.19253483713218808,0.48639612715973396
Proportion of time shrimp spent outside of the burrow,Pre,2-stroke,0.32170956383237836,0.19331171724925608,0.4538872226386412
Proportion of time shrimp spent outside of the burrow,During,control,0.28598983900146735,0.17975593477167998,0.4114103946738837
Proportion of time shrimp spent outside of the burrow,During,4-stroke,0.2589221625971107,0.15465993331208155,0.39163317861486263
Proportion of time shrimp spent outside of the burrow,During,2-stroke,0.20880679409430974,0.12190750313161722,0.31184243447460985
Proportion of time shrimp spent outside of the burrow,Post,control,0.3334815908737398,0.21247465967276727,0.46334439249749804
Proportion of time shrimp spent outside of the burrow,Post,4-stroke,0.32626208664207323,0.1927346365961267,0.47061105568970546
Proportion of time shrimp spent outside of the burrow,Post,2-stroke,0.2386264116900989,0.13857686962687663,0.35890946583027045
Proportion of time shrimp spent in contact with a goby,Pre,control,0.7050246578297104,0.5548278366771001,0.8339999046100451
Proportion of time shrimp spent in contact with a goby,Pre,4-stroke,0.6893009212602188,0.5230592688283262,0.8280634346057076
Proportion of time shrimp spent in contact with a goby,Pre,2-stroke,0.612777697725334,0.4593987152648752,0.7542848510821534
Proportion of time shrimp spent in contact with a goby,During,control,0.6488437339971367,0.4991426396202693,0.7897399716922204
Proportion of time shrimp spent in contact with a goby,During,4-stroke,0.7175982749996828,0.5615711517063592,0.856838296524852
Proportion of time shrimp spent in contact with a goby,During,2-stroke,0.5833631674869368,0.42871009324207254,0.7201551662777025
Proportion of time shrimp spent in contact with a goby,Post,control,0.6905964108201095,0.5467256935008467,0.8199855135716471
Proportion of time shrimp spent in contact with a goby,Post,4-stroke,0.7623786303975086,0.6225846882199745,0.8801669300726701
Proportion of time shrimp spent in contact with a goby,Post,2-stroke,0.6397285749855107,0.48726901693514574,0.7778386241726607
