code,species
1,bellulus
2,bellulus
3,bellulus
4,sciolii
5,sciolii
6,sciolii
7,bellulus
8,bellulus
9,bellulus
10,mannarensis
11,mannarensis
12,mannarensis
13,mannarensis
14,mannarensis
15,mannarensis
16,bellulus
17,bellulus
18,bellulus
19,mannarensis
20,mannarensis
21,mannarensis
22,mannarensis
23,mannarensis
24,mannarensis
25,mannarensis
26,mannarensis
27,mannarensis
28,unknown
29,unknown
30,unknown
37,unknown
38,unknown
39,unknown
43,mannarensis
44,mannarensis
45,mannarensis
46,mannarensis
47,mannarensis
48,mannarensis
49,mannarensis
50,mannarensis
51,mannarensis
52,mannarensis
53,mannarensis
54,mannarensis
55,mannarensis
56,mannarensis
57,mannarensis
58,unknown
59,unknown
60,unknown
61,unknown
62,unknown
63,unknown
64,mannarensis
65,mannarensis
66,mannarensis
67,unknown
68,unknown
69,unknown
70,unknown
71,unknown
72,unknown
73,unknown
74,unknown
75,unknown
76,mannarensis
77,mannarensis
78,mannarensis
79,mannarensis
80,mannarensis
81,mannarensis
82,mannarensis
83,mannarensis
84,mannarensis
85,unknown
86,unknown
87,unknown
88,mannarensis
89,mannarensis
90,mannarensis
91,unknown
92,unknown
93,unknown
94,mannarensis
95,mannarensis
96,mannarensis
97,mannarensis
98,mannarensis
99,mannarensis
100,mannarensis
101,mannarensis
102,mannarensis
103,unknown
104,unknown
105,unknown
106,mannarensis
107,mannarensis
108,mannarensis
109,mannarensis
110,mannarensis
111,mannarensis
112,mannarensis
113,mannarensis
114,mannarensis
115,mannarensis
116,mannarensis
117,mannarensis
118,mannarensis
119,mannarensis
120,mannarensis
121,unknown
122,unknown
123,unknown
124,unknown
125,unknown
126,unknown
127,mannarensis
128,mannarensis
129,mannarensis
130,mannarensis
131,mannarensis
132,mannarensis
133,mannarensis
134,mannarensis
135,mannarensis
136,mannarensis
137,mannarensis
138,mannarensis
139,mannarensis
140,mannarensis
141,mannarensis
142,mannarensis
143,mannarensis
144,mannarensis
145,mannarensis
146,mannarensis
147,mannarensis
151,mannarensis
152,mannarensis
153,mannarensis
154,sciolii
155,sciolii
156,sciolii
157,mannarensis
158,mannarensis
159,mannarensis
160,mannarensis
161,mannarensis
162,mannarensis
163,mannarensis
164,mannarensis
165,mannarensis
166,unknown
167,unknown
168,unknown
169,unknown
170,unknown
171,unknown
172,unknown
173,unknown
174,unknown
175,bellulus
176,bellulus
177,bellulus
178,sciolii
179,sciolii
180,sciolii
181,mannarensis
182,mannarensis
183,mannarensis
184,mannarensis
185,mannarensis
186,mannarensis
187,mannarensis
188,mannarensis
189,mannarensis
190,mannarensis
191,mannarensis
192,mannarensis
193,unknown
194,unknown
195,unknown
196,mannarensis
197,mannarensis
198,mannarensis
199,unknown
200,unknown
201,unknown
202,mannarensis
203,mannarensis
204,mannarensis
205,unknown
206,unknown
207,unknown
208,mannarensis
209,mannarensis
210,mannarensis
211,mannarensis
212,mannarensis
213,mannarensis
214,sciolii
215,sciolii
216,sciolii
217,bellulus
218,bellulus
219,bellulus
220,mannarensis
221,mannarensis
222,mannarensis
223,mannarensis
224,mannarensis
225,mannarensis
226,bellulus
227,bellulus
228,bellulus
229,mannarensis
230,mannarensis
231,mannarensis
232,mannarensis
233,mannarensis
