video_id,subject,behavior,modifiers,count,total_duration_s,duration_mean_s,duration_std_dev,inter_event_intervals_mean_s,inter_event_intervals_std_dev,percent_of_total_length
g1,1st Goby,OUT OF FRME,,0,0,0,NA,-,-,0
g1,1st Goby,BLACK EYES,,0,0,0,NA,-,-,0
g1,1st Goby,AWAY,,1,1.532,1.532,NA,NA,NA,0.5
g1,1st Goby,INSIDE,,1,9.239,9.239,NA,NA,NA,3.1
g1,1st Goby,NEAR,,6,134.86,22.477,35.489,33.028,39.655,45
g1,1st Goby,APART,,5,136.892,27.378,37.418,40.777,41.011,45.6
g1,1st Goby,EDGE,,5,154.357,30.871,35.454,10.485,5.433,51.5
g1,1st Goby,CONTACT,,4,163.1,40.775,41.011,10.9,6.576,54.4
g1,1st Shrimp,INSIDE,,0,0,0,NA,-,-,0
g1,1st Shrimp,EDGE,,0,0,0,NA,-,-,0
g1,1st Shrimp,NEAR,,0,0,0,NA,-,-,0
g1,1st Shrimp,AWAY,,0,0,0,NA,-,-,0
g1,1st Shrimp,CONTACT,,0,0,0,NA,-,-,0
g1,1st Shrimp,APART,,0,0,0,NA,-,-,0
g1,1st Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g1,1st Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g1,2nd Goby,BLACK EYES,,0,0,0,NA,-,-,0
g1,2nd Goby,INSIDE,,1,28.996,28.996,NA,NA,NA,9.7
g1,2nd Goby,NEAR,,2,39.788,19.894,27.071,83.306,NA,13.3
g1,2nd Goby,EDGE,,2,54.306,27.153,24.613,28.998,NA,18.1
g1,2nd Goby,CONTACT,,1,83.304,83.304,NA,NA,NA,27.8
g1,2nd Goby,OUT OF FRME,,1,176.657,176.657,NA,NA,NA,58.9
g1,2nd Goby,AWAY,,1,176.905,176.905,NA,NA,NA,59
g1,2nd Goby,APART,,2,216.694,108.347,98.021,83.306,NA,72.2
g1,2nd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g1,2nd Shrimp,EDGE,,0,0,0,NA,-,-,0
g1,2nd Shrimp,NEAR,,0,0,0,NA,-,-,0
g1,2nd Shrimp,AWAY,,0,0,0,NA,-,-,0
g1,2nd Shrimp,CONTACT,,0,0,0,NA,-,-,0
g1,2nd Shrimp,APART,,0,0,0,NA,-,-,0
g1,2nd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g1,2nd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g1,3rd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g1,3rd Shrimp,EDGE,,0,0,0,NA,-,-,0
g1,3rd Shrimp,NEAR,,0,0,0,NA,-,-,0
g1,3rd Shrimp,AWAY,,0,0,0,NA,-,-,0
g1,3rd Shrimp,CONTACT,,0,0,0,NA,-,-,0
