subject,behavior,count,total_duration_s,video_id
1st Shrimp,INSIDE,0,0,g1
1st Shrimp,EDGE,0,0,g1
1st Shrimp,NEAR,0,0,g1
1st Shrimp,AWAY,0,0,g1
1st Shrimp,CONTACT,0,0,g1
1st Shrimp,APART,0,0,g1
1st Shrimp,EAT,0,NA,g1
1st Shrimp,DEFENCE,0,NA,g1
1st Shrimp,DASH,0,NA,g1
1st Shrimp,OUT OF FRME,0,0,g1
1st Shrimp,BLACK EYES,0,0,g1
1st Shrimp,CHASE HETERO,0,NA,g1
1st Shrimp,CHASE CON,0,NA,g1
1st Shrimp,CHASE UNKNOWN,0,NA,g1
2nd Shrimp,INSIDE,0,0,g1
2nd Shrimp,EDGE,0,0,g1
2nd Shrimp,NEAR,0,0,g1
2nd Shrimp,AWAY,0,0,g1
2nd Shrimp,CONTACT,0,0,g1
2nd Shrimp,APART,0,0,g1
2nd Shrimp,EAT,0,NA,g1
2nd Shrimp,DEFENCE,0,NA,g1
2nd Shrimp,DASH,0,NA,g1
2nd Shrimp,OUT OF FRME,0,0,g1
2nd Shrimp,BLACK EYES,0,0,g1
2nd Shrimp,CHASE HETERO,0,NA,g1
2nd Shrimp,CHASE CON,0,NA,g1
2nd Shrimp,CHASE UNKNOWN,0,NA,g1
3rd Shrimp,INSIDE,0,0,g1
3rd Shrimp,EDGE,0,0,g1
3rd Shrimp,NEAR,0,0,g1
3rd Shrimp,AWAY,0,0,g1
3rd Shrimp,CONTACT,0,0,g1
3rd Shrimp,APART,0,0,g1
3rd Shrimp,EAT,0,NA,g1
3rd Shrimp,DEFENCE,0,NA,g1
3rd Shrimp,DASH,0,NA,g1
3rd Shrimp,OUT OF FRME,0,0,g1
3rd Shrimp,BLACK EYES,0,0,g1
3rd Shrimp,CHASE HETERO,0,NA,g1
3rd Shrimp,CHASE CON,0,NA,g1
3rd Shrimp,CHASE UNKNOWN,0,NA,g1
1st Goby,INSIDE,1,9.239,g1
1st Goby,EDGE,5,154.357,g1
1st Goby,NEAR,6,134.86,g1
1st Goby,AWAY,1,1.532,g1
1st Goby,CONTACT,4,163.1,g1
1st Goby,APART,5,136.892,g1
1st Goby,EAT,2,NA,g1
1st Goby,DEFENCE,0,NA,g1
1st Goby,DASH,0,NA,g1
1st Goby,OUT OF FRME,0,0,g1
1st Goby,BLACK EYES,0,0,g1
1st Goby,CHASE HETERO,0,NA,g1
1st Goby,CHASE CON,0,NA,g1
1st Goby,CHASE UNKNOWN,0,NA,g1
2nd Goby,INSIDE,1,28.996,g1
2nd Goby,EDGE,2,54.306,g1
2nd Goby,NEAR,2,39.788,g1
2nd Goby,AWAY,1,176.905,g1
2nd Goby,CONTACT,1,83.304,g1
2nd Goby,APART,2,216.694,g1
2nd Goby,EAT,0,NA,g1
2nd Goby,DEFENCE,0,NA,g1
2nd Goby,DASH,0,NA,g1
2nd Goby,OUT OF FRME,1,176.657,g1
2nd Goby,BLACK EYES,0,0,g1
2nd Goby,CHASE HETERO,1,NA,g1
2nd Goby,CHASE CON,0,NA,g1
2nd Goby,CHASE UNKNOWN,0,NA,g1
1st Shrimp,INSIDE,0,0,g10
1st Shrimp,EDGE,0,0,g10
1st Shrimp,NEAR,0,0,g10
1st Shrimp,AWAY,0,0,g10
1st Shrimp,CONTACT,0,0,g10
1st Shrimp,APART,0,0,g10
1st Shrimp,EAT,0,NA,g10
1st Shrimp,DEFENCE,0,NA,g10
1st Shrimp,DASH,0,NA,g10
1st Shrimp,OUT OF FRME,0,0,g10
1st Shrimp,BLACK EYES,0,0,g10
1st Shrimp,CHASE HETERO,0,NA,g10
1st Shrimp,CHASE CON,0,NA,g10
1st Shrimp,CHASE UNKNOWN,0,NA,g10
2nd Shrimp,INSIDE,0,0,g10
2nd Shrimp,EDGE,0,0,g10
2nd Shrimp,NEAR,0,0,g10
2nd Shrimp,AWAY,0,0,g10
2nd Shrimp,CONTACT,0,0,g10
2nd Shrimp,APART,0,0,g10
2nd Shrimp,EAT,0,NA,g10
2nd Shrimp,DEFENCE,0,NA,g10
2nd Shrimp,DASH,0,NA,g10
2nd Shrimp,OUT OF FRME,0,0,g10
2nd Shrimp,BLACK EYES,0,0,g10
2nd Shrimp,CHASE HETERO,0,NA,g10
2nd Shrimp,CHASE CON,0,NA,g10
2nd Shrimp,CHASE UNKNOWN,0,NA,g10
3rd Shrimp,INSIDE,0,0,g10
3rd Shrimp,EDGE,0,0,g10
3rd Shrimp,NEAR,0,0,g10
3rd Shrimp,AWAY,0,0,g10
3rd Shrimp,CONTACT,0,0,g10
3rd Shrimp,APART,0,0,g10
3rd Shrimp,EAT,0,NA,g10
3rd Shrimp,DEFENCE,0,NA,g10
3rd Shrimp,DASH,0,NA,g10
3rd Shrimp,OUT OF FRME,0,0,g10
3rd Shrimp,BLACK EYES,0,0,g10
3rd Shrimp,CHASE HETERO,0,NA,g10
3rd Shrimp,CHASE CON,0,NA,g10
3rd Shrimp,CHASE UNKNOWN,0,NA,g10
1st Goby,INSIDE,0,0,g10
1st Goby,EDGE,1,9.321,g10
1st Goby,NEAR,2,10.922,g10
1st Goby,AWAY,2,279.753,g10
1st Goby,CONTACT,2,265.309,g10
