date_file,video_section,code,site,boat_name,stroke
OCT 25 Boat A,Pre,1,SITE O,SARAH,2
OCT 25 Boat A,Post,2,SITE O,SARAH,2
OCT 25 Boat A,During,3,SITE O,SARAH,2
OCT 25 Boat B,Post,4,SITE O,SARAH,2
OCT 25 Boat B,During,5,SITE O,SARAH,2
OCT 25 Boat B,Pre,6,SITE O,SARAH,2
OCT 25 Boat C,Post,7,SITE O,SARAH,2
OCT 25 Boat C,Pre,8,SITE O,SARAH,2
OCT 25 Boat C,During,9,SITE O,SARAH,2
OCT 27 Boat A,Pre,10,SITE 1,SARAH,2
OCT 27 Boat A,Post,11,SITE 1,SARAH,2
OCT 27 Boat A,During,12,SITE 1,SARAH,2
OCT 27 Boat B,Post,13,SITE 1,SARAH,2
OCT 27 Boat B,During,14,SITE 1,SARAH,2
OCT 27 Boat B,Pre,15,SITE 1,SARAH,2
OCT 27 Boat C,Pre,16,SITE 1,SARAH,2
OCT 27 Boat C,Post,17,SITE 1,SARAH,2
OCT 27 Boat C,During,18,SITE 1,SARAH,2
OCT 27 Boat D,During,19,SITE 1,SARAH,2
OCT 27 Boat D,Pre,20,SITE 1,SARAH,2
OCT 27 Boat D,Post,21,SITE 1,SARAH,2
OCT 28 Control A,Pre,22,SITE 1,control,control
OCT 28 Control A,During,23,SITE 1,control,control
OCT 28 Control A,Post,24,SITE 1,control,control
OCT 28 Control B,Post,25,SITE 1,control,control
OCT 28 Control B,During,26,SITE 1,control,control
OCT 28 Control B,Pre,27,SITE 1,control,control
OCT 28 Control C,Post,28,SITE 1,control,control
OCT 28 Control C,During,29,SITE 1,control,control
OCT 28 Control C,Pre,30,SITE 1,control,control
OCT 29 Control A,Pre,31,SITE 2,control,control
OCT 29 Control A,Post,32,SITE 2,control,control
OCT 29 Control A,During,33,SITE 2,control,control
OCT 29 Control B,During,34,SITE 2,control,control
OCT 29 Control B,Pre,35,SITE 2,control,control
OCT 29 Control B,Post,36,SITE 2,control,control
OCT 29 Control C,Pre,37,SITE 2,control,control
OCT 29 Control C,During,38,SITE 2,control,control
OCT 29 Control C,Post,39,SITE 2,control,control
OCT 29 Control D,Post,40,SITE 2,control,control
OCT 29 Control D,During,41,SITE 2,control,control
OCT 29 Control D,Pre,42,SITE 2,control,control
OCT 31 Boat A,Pre,43,SITE 2,SARAH,2
OCT 31 Boat A,Post,44,SITE 2,SARAH,2
OCT 31 Boat A,During,45,SITE 2,SARAH,2
OCT 31 Boat B,Pre,46,SITE 2,SARAH,2
OCT 31 Boat B,Post,47,SITE 2,SARAH,2
OCT 31 Boat B,During,48,SITE 2,SARAH,2
OCT 31 Boat C,Pre,49,SITE 2,SARAH,2
OCT 31 Boat C,Post,50,SITE 2,SARAH,2
OCT 31 Boat C,During,51,SITE 2,SARAH,2
NOV 2 Control A,Post,52,SITE 2,control,control
NOV 2 Control A,Pre,53,SITE 2,control,control
NOV 2 Control A,During,54,SITE 2,control,control
NOV 2 Control B,Pre,55,SITE 2,control,control
NOV 2 Control B,Post,56,SITE 2,control,control
NOV 2 Control B,During,57,SITE 2,control,control
NOV 2 Control C,During,58,SITE 2,control,control
NOV 2 Control C,Post,59,SITE 2,control,control
NOV 2 Control C,Pre,60,SITE 2,control,control
NOV 2 Control D,During,61,SITE 2,control,control
NOV 2 Control D,Pre,62,SITE 2,control,control
NOV 2 Control D,Post,63,SITE 2,control,control
NOV 4 Control A,Post,64,SITE 3,control,control
